"Eastern Date Hour","Zone Name","Zone PTID","TWI Zonal LBMP","TWI Zonal Losses","TWI Zonal Congestion","TWI Zonal Price Version"
"2016/01/01 20:00:00","N.Y.C.","61761","25.88","1.18","-13.47","4"
"2016/01/01 20:00:00","NORTH","61755","10.74","-0.49","0","4"
"2016/01/01 20:00:00","WEST","61752","23.78","-0.88","-13.43","4"
"2016/01/01 21:00:00","CAPITL","61757","31.12","-0.22","-34.65","4"
"2016/01/01 21:00:00","CENTRL","61754","0.64","-0.01","-3.96","4"
"2016/01/01 21:00:00","DUNWOD","61760","22.36","-0.33","-26","4"
"2016/01/01 21:00:00","GENESE","61753","0.04","0.16","-3.19","4"
"2016/01/01 21:00:00","HUD VL","61758","22.1","-0.33","-25.74","4"
"2016/01/01 21:00:00","LONGIL","61762","24.67","-0.46","-28.44","4"
"2016/01/01 21:00:00","MHK VL","61756","1.39","-0.11","-4.8","4"
"2016/01/01 21:00:00","MILLWD","61759","22.52","-0.34","-26.17","4"
"2016/01/01 21:00:00","N.Y.C.","61761","22.35","-0.35","-26.01","4"
"2016/01/01 21:00:00","NORTH","61755","-3.17","0.14","0","4"
"2016/01/01 21:00:00","WEST","61752","1.03","0.27","-4.07","4"
"2016/01/01 22:00:00","CAPITL","61757","26.49","0.31","-21.4","4"
"2016/01/01 22:00:00","CENTRL","61754","7.61","0.04","-2.79","4"
"2016/01/01 22:00:00","DUNWOD","61760","21.31","0.48","-16.06","4"
"2016/01/01 22:00:00","GENESE","61753","6.54","-0.21","-1.98","3"
"2016/01/01 22:00:00","HUD VL","61758","21.15","0.47","-15.9","4"
"2016/01/01 22:00:00","LONGIL","61762","22.95","0.67","-17.51","4"
"2016/01/01 22:00:00","MHK VL","61756","7.94","0.16","-3","4"
"2016/01/01 22:00:00","MILLWD","61759","21.44","0.49","-16.17","4"
"2016/01/01 22:00:00","N.Y.C.","61761","21.33","0.49","-16.07","4"
"2016/01/01 22:00:00","NORTH","61755","4.57","-0.2","0","4"
"2016/01/01 22:00:00","WEST","61752","11.83","-0.34","-7.39","4"
"2016/01/01 23:00:00","CAPITL","61757","51.45","-0.64","-61.63","4"
"2016/01/01 23:00:00","CENTRL","61754","-2.53","-0.02","-7.03","4"
"2016/01/01 23:00:00","DUNWOD","61760","35.81","-0.9","-46.24","4"
"2016/01/01 23:00:00","GENESE","61753","-3.41","0.44","-5.69","4"
"2016/01/01 23:00:00","HUD VL","61758","35.36","-0.89","-45.78","4"
